Date ID,Date (YYYY/MM/DD),Hour (24:00),Brisbane Wind Direction (degN),Gladstone Wind Direction (degN),Brisbane Wind Speed Km/h,Gladstone Wind Speed Km/h,Brisbane Wind Std Deviation Km/h,Gladstone Wind Std Deviation Km/h
4987,2022-07-27,18:00:00,229,227,1.0800000429153442,3.6,1.8,1.4400000214576723
4988,2022-07-27,19:00:00,229,198,1.0800000429153442,4.679999828338623,1.8,2.1600000858306885
4989,2022-07-27,20:00:00,257,215,0.36000000536441806,3.2399999141693114,1.0800000429153442,1.4400000214576723
4990,2022-07-27,21:00:00,255,204,0.36000000536441806,2.8800000429153445,1.0800000429153442,1.0800000429153442
4991,2022-07-27,22:00:00,243,237,0.36000000536441806,3.2399999141693114,0.7200000107288361,1.0800000429153442
4992,2022-07-27,23:00:00,229,238,1.0800000429153442,5.4,1.4400000214576723,1.4400000214576723
4993,2022-07-28,00:00:00,216,237,1.4400000214576723,5.039999914169312,1.0800000429153442,1.4400000214576723
4994,2022-07-28,01:00:00,216,221,2.519999957084656,3.6,1.4400000214576723,1.4400000214576723
4995,2022-07-28,02:00:00,213,236,2.1600000858306885,5.039999914169312,1.4400000214576723,1.0800000429153442
4996,2022-07-28,03:00:00,211,239,2.1600000858306885,6.120000171661377,1.4400000214576723,1.4400000214576723
4997,2022-07-28,04:00:00,214,261,2.8800000429153445,6.8399999141693115,1.4400000214576723,0.7200000107288361
4998,2022-07-28,05:00:00,215,254,2.519999957084656,6.479999828338623,1.4400000214576723,1.0800000429153442
4999,2022-07-28,06:00:00,214,239,3.2399999141693114,7.559999656677246,1.4400000214576723,1.0800000429153442
5000,2022-07-28,07:00:00,214,232,1.8,8.279999828338623,1.4400000214576723,1.8
5001,2022-07-28,08:00:00,201,211,0.7200000107288361,4.320000171661377,1.0800000429153442,2.1600000858306885
5002,2022-07-28,09:00:00,213,132,0.7200000107288361,12.240000343322754,1.0800000429153442,3.6
5003,2022-07-28,10:00:00,203,123,3.6,14.040000343322754,2.1600000858306885,3.2399999141693114
